gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip_opgezocht;Lat;Long;total_counted;cast;percentage_gestemd;percentage_gestemd_95_100;percentage_gestemd_65_95;percentage_gestemd_tot_65;aantal_niet_gestemd;VVD;PvDA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50PLUS;OndernemersPartij;VNL (VoorNederland);DENK;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Libertarische Partij (LP);Lokaal in de Kamer;Artikel 1;grootste_partij_w;tweede_grootste_partij_w;derde_grootste_partij_w;grootste_partij;tweede_grootste_partij;derde_grootste_partij;INWONER;MAN;VROUW;INW_014;INW_1524;INW_2544;INW_4564;INW_65PL;P_NL_ACHTG;P_WE_MIG_A;P_NW_MIG_A;AANTAL_HH;TOTHH_EENP;TOTHH_MPZK;HH_EENOUD;HH_TWEEOUD;GEM_HH_GR;WONING;WONVOOR45;WON_4564;WON_6574;WON_7584;WON_8594;WON_9504;WON_0514;WON_1524;P_HUURWON;P_KOOPWON;WON_HCORP;WON_MRGEZ;WON_NBEW;WOZWONING;G_GAS_WON;G_ELEK_WON
Someren;847;0847::SB4;De Weijers;5711VV;51,39111315;5,711632229;1337;1934;0,69131334;0;1;0;597;388;58;194;139;281;119;10;36;5;22;51;3;4;0;16;0;0;1;6;0;3;0;1;5;3;VVD;CDA;PVV;20;10;15;;;;15;;90;;;10;;;;;2,2;10;;;10;;;;;;;60;;;;173;1340;3630
Someren;847;0847::SB5;Eegelshoeve;5711VG;51,38881429;5,712433579;1046;1610;0,649689441;0;0;1;564;239;23;190;120;186;106;10;56;1;19;66;1;4;2;16;0;0;1;4;0;1;0;1;3;5;VVD;PVV;CDA;105;35;65;;;;5;95;100;0;;55;45;10;;;1,2;65;;;;;;;65;;100;;60;65;5;155;690;1590
Someren;847;0847::SB6;De Bunt;5712GC;51,34872095;5,697923147;922;1142;0,807355517;0;1;0;220;292;15;177;64;209;68;0;27;2;15;29;2;5;0;10;0;0;1;0;0;2;0;1;5;3;VVD;CDA;PVV;10;5;;;;;;10;70;;;10;5;;;;1,4;10;;;;10;;;;;;;;;;131;1220;1950
Someren;847;0847::SB7;De Vurherd;5715AN;51,41994105;5,680045412;1463;1721;0,850087159;0;1;0;258;384;50;187;159;320;142;7;80;0;31;67;4;6;0;22;1;0;0;3;0;0;0;1;5;3;VVD;CDA;PVV;30;15;15;;5;;10;10;90;;;15;;;;;2,1;15;;;;;;;;;;80;;;;248;1270;3250
Someren;847;0847::SB9;Basisschool De Vonder;5712CA;51,35487019;5,734598783;812;1445;0,561937716;0;0;1;633;228;17;164;105;142;56;6;31;1;9;38;2;2;0;10;0;0;0;0;0;1;0;1;3;5;VVD;PVV;CDA;35;20;15;;;10;10;10;90;;;15;;5;;;2,1;15;;;15;;;;;;30;70;5;;;204;1440;3130
Someren;847;0847::SB10;Basisschool De Ranonkel;5711KT;51,3858604;5,720365655;830;1078;0,769944341;0;1;0;248;300;33;111;90;124;80;4;28;0;4;21;1;8;2;15;1;3;1;2;0;0;0;1;5;3;VVD;CDA;PVV;80;40;40;15;5;20;35;5;90;10;;25;5;5;;10;2,7;30;;;;;20;10;;;20;80;;;;274;1490;3740
Son en Breugel;848;0848::SB1;Kom van Son, Bibiliotheek Dommeldal;5691AD;51,51011182;5,492528729;994;1483;0,67026298;0;1;0;489;286;30;103;79;197;142;6;73;1;25;29;0;6;0;12;1;0;0;1;0;0;1;1;5;6;VVD;CDA;D66;50;25;25;;10;25;5;10;70;30;;35;25;5;;;1,3;25;;15;;10;;;;;80;20;;25;;175;1060;1850
Son en Breugel;848;0848::SB2;de Vloed, Verz.huis Berkenstaete;5691SV;51,50669452;5,489293343;1084;1447;0,749136144;0;1;0;363;343;41;117;74;182;151;11;63;0;19;50;2;5;0;18;2;1;0;3;0;0;2;1;5;6;VVD;CDA;D66;120;40;80;;;;5;115;90;10;;35;20;15;;;1,4;90;;;;;;;90;;90;10;55;90;;192;660;1970
Son en Breugel;848;0848::SB3;Breeakker, Bibiliotheek Dommeldal;5691AD;51,51011182;5,492528729;1234;995;1;1;0;0;0;364;50;168;122;182;129;12;78;2;46;51;0;3;1;20;1;0;2;1;0;0;0;1;5;3;VVD;CDA;PVV;50;25;25;;10;25;5;10;70;30;;35;25;5;;;1,3;25;;15;;10;;;;;80;20;;25;;175;1060;1850
Son en Breugel;848;0848::SB4;t Harde Ven, Korein Kinderplein;5691EA;51,51498272;5,487479466;962;1180;0,815254237;0;1;0;218;357;39;37;44;173;165;12;64;7;28;19;1;1;0;10;0;1;0;2;0;1;1;1;5;6;VVD;CDA;D66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Son en Breugel;848;0848::SB5;De Gentiaan, BS De Bloktempel;5691HB;51,52272044;5,484529964;1445;1616;0,894183168;0;1;0;171;454;74;132;103;201;256;12;96;0;50;33;0;10;0;16;0;0;1;5;0;0;0;1;6;5;VVD;D66;CDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Son en Breugel;848;0848::SB6;De Gentiaan, Braecklant Amerikalaan 2;5691KD;51,52351829;5,480411575;1415;1607;0,880522713;0;1;0;192;517;62;105;69;206;213;32;86;0;36;45;1;4;5;24;2;0;0;5;0;1;0;1;6;5;VVD;D66;CDA;40;15;25;10;;10;10;;90;20;;15;;;;10;2,9;15;;;5;5;;;;;;90;;;;290;2480;4250
Son en Breugel;848;0848::SB7;Kom Breugel, Parochiehuis Den Bauw;5694AG;51,51240183;5,505082915;775;987;0,7852077;0;1;0;212;190;28;88;80;189;74;4;45;1;15;48;2;1;0;10;0;0;0;0;0;0;0;1;5;3;VVD;CDA;PVV;55;25;30;;;5;20;25;100;;;25;5;15;;5;2,1;25;;10;;;10;;;;;80;;;;375;2360;3810
Son en Breugel;848;0848::SB8;t Eigen, BS De Stokland;5694TG;51,5213542;5,507526254;1077;1360;0,791911765;0;1;0;283;236;66;129;133;172;124;13;93;1;38;32;3;10;0;18;0;0;1;3;0;1;1;1;5;4;VVD;CDA;SP;50;30;20;20;;20;10;;90;;;15;;5;;10;3,1;15;;;15;;;;;;;90;;;;193;1740;3660
