gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip_opgezocht;Lat;Long;total_counted;cast;percentage_gestemd;percentage_gestemd_95_100;percentage_gestemd_65_95;percentage_gestemd_tot_65;aantal_niet_gestemd;VVD;PvDA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50PLUS;OndernemersPartij;VNL (VoorNederland);DENK;Forum voor Democratie;De Burger Beweging;Vrijzinnige Partij;GeenPeil;Piratenpartij;Libertarische Partij (LP);Lokaal in de Kamer;Artikel 1;grootste_partij_w;tweede_grootste_partij_w;derde_grootste_partij_w;grootste_partij;tweede_grootste_partij;derde_grootste_partij;INWONER;MAN;VROUW;INW_014;INW_1524;INW_2544;INW_4564;INW_65PL;P_NL_ACHTG;P_WE_MIG_A;P_NW_MIG_A;AANTAL_HH;TOTHH_EENP;TOTHH_MPZK;HH_EENOUD;HH_TWEEOUD;GEM_HH_GR;WONING;WONVOOR45;WON_4564;WON_6574;WON_7584;WON_8594;WON_9504;WON_0514;WON_1524;P_HUURWON;P_KOOPWON;WON_HCORP;WON_MRGEZ;WON_NBEW;WOZWONING;G_GAS_WON;G_ELEK_WON
Amsterdam;;;1  Stadhuis;1011PN;52,36764183;4,900331576;2865;1618;1;1;0;0;1;370;267;105;193;59;591;9;823;2;268;21;0;3;35;42;4;0;5;20;1;0;40;8;6;1;GL;D66;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;3  Universiteitsbibliotheek Amsterdam;1012WP;52,36740952;4,890839402;1295;706;1;1;0;0;3;230;78;32;43;33;347;24;344;2;99;1;0;2;11;21;1;0;1;3;0;0;20;6;8;1;D66;GL;VVD;55;30;20;5;;25;15;5;70;20;;35;20;10;;;1,5;50;35;;;10;;;;;50;50;10;50;15;434;1090;2230
Amsterdam;;;4  Leger des Heils;1012DB;52,37338607;4,899166192;693;1037;0,668273867;0;1;0;1;103;55;46;38;15;135;23;181;2;60;11;0;2;1;12;1;0;1;2;0;0;3;8;6;1;GL;D66;VVD;20;10;10;;;10;;;60;30;;10;5;;;;1,5;20;20;;;;;;;;;;;20;10;263;;1500
Amsterdam;;;5  De Keyzer;1018PR;52,36931386;4,928445849;1495;1289;1;1;0;0;0;168;148;73;99;28;295;27;380;1;102;14;2;4;69;14;3;2;1;9;1;0;51;8;6;1;GL;D66;VVD;50;25;30;10;15;20;;;60;20;30;30;20;;5;5;1,6;30;25;;;;;;;;80;20;10;30;;178;760;1460
Amsterdam;;;6  School De Witte Olifant;1011LX;52,37007067;4,903677945;1298;1122;1;1;0;0;3;149;142;55;82;24;260;6;389;2;128;13;1;4;8;18;1;0;0;6;0;1;8;8;6;1;GL;D66;VVD;10;;;;;;;;;;;5;;;;;1,3;;;;;;;;;;;;;;;;;
Amsterdam;;;7  Voormalige Stadstimmertuin;1018ET;52,36159826;4,905989676;910;1200;0,758333333;0;1;0;3;154;86;28;40;20;222;7;253;0;61;5;0;3;6;9;0;0;2;6;0;0;8;8;6;1;GL;D66;VVD;40;25;15;;5;15;15;;80;10;10;30;25;5;;;1,3;35;35;;;;;;;;100;;;35;;240;690;1450
Amsterdam;;;8  Gymlokaal;1018RA;52,37017089;4,930887279;1082;1049;1;1;0;0;3;122;133;49;71;16;226;12;290;2;116;10;1;1;1;8;0;1;0;10;0;1;11;8;6;2;GL;D66;PvDA;35;15;20;;5;10;15;;70;20;;25;15;;;;1,4;25;25;;;;;;;;;;;25;;229;1010;2260
Amsterdam;;;10  Burghtschool;1015BL;52,37853677;4,890959554;963;910;1;1;0;0;3;251;77;27;27;28;256;4;183;0;74;2;0;3;0;18;0;0;0;5;0;0;5;6;1;8;D66;VVD;GL;40;20;25;;5;15;10;10;70;30;;30;25;;;;1,3;25;25;;;;;;;;70;30;;25;;;1500;
Amsterdam;;;12  Theo Thijssenschool;1015NG;52,37695123;4,879854854;1441;1519;0,948650428;0;1;0;1;213;184;77;127;33;246;11;354;1;133;19;0;2;2;19;0;1;2;4;1;0;8;8;6;1;GL;D66;VVD;65;30;35;10;5;20;20;15;60;20;10;40;25;10;10;;1,6;40;25;;;5;;;;;70;30;25;35;;309;1040;2030
Amsterdam;;;13  Korfbalvereniging Swift;1018ST;52,36768215;4,909883439;1841;2436;0,755747126;0;1;0;2;286;244;66;79;35;404;32;475;5;140;26;0;2;4;16;0;1;2;8;1;0;11;8;6;1;GL;D66;VVD;55;30;25;5;15;5;15;15;80;10;;35;25;5;;;1,5;30;25;;;;10;;;;50;50;;30;5;492;1180;3350
Amsterdam;;;17  ROC van Amsterdam;1016SB;52,36958669;4,878589339;185;236;0,783898305;0;1;0;0;20;6;7;15;1;46;2;57;0;21;0;0;1;0;5;0;1;0;2;0;0;1;8;6;10;GL;D66;PvdD;30;15;15;;;5;15;5;70;20;;25;20;;;;1,3;25;25;;;;;;;;;;;25;;257;660;1510
Amsterdam;;;18  Jeugdtheater De Krakeling;1016XP;52,36650508;4,879027872;1120;1244;0,900321543;0;1;0;0;272;96;26;39;33;265;7;253;0;91;14;0;0;1;10;0;0;0;8;0;0;4;1;6;8;VVD;D66;GL;120;50;75;;;;20;100;70;20;10;90;75;15;;;1,2;;;;;;;;;;;;;;;;;
Amsterdam;;;21  De Balie;1017RR;52,36283793;4,883254015;1877;1596;1;1;0;0;2;423;134;54;56;40;519;11;448;2;120;10;1;3;2;25;0;0;2;17;0;0;7;6;8;1;D66;GL;VVD;;;;;;;;;;;;5;5;;;;1;5;5;;;;;;;;;;;5;;337;910;
Amsterdam;;;23  Westerkerk;1016GW;52,3739563;4,883457369;1159;1207;0,96023198;1;0;0;0;220;112;37;59;24;274;13;289;1;94;2;1;2;4;13;0;0;1;5;1;0;6;8;6;1;GL;D66;VVD;15;10;10;;5;;5;;70;;;15;10;;;;1,2;10;10;;;;;;;;70;;;10;;552;900;1620
Amsterdam;;;24  Het Claverhuis;1016TX;52,36991874;4,881083527;1660;1004;1;1;0;0;1;364;138;69;77;28;362;7;378;0;136;29;2;5;8;22;0;1;1;11;0;0;17;8;1;6;GL;VVD;D66;15;5;10;;;10;;;50;30;;15;10;;;;1,2;15;15;;;;;;;;70;;;15;5;357;1100;1480
Amsterdam;;;26  Kerk De Duif;1017LD;52,36146891;4,896758491;2440;2070;1;1;0;0;3;639;243;55;62;67;678;18;462;2;146;18;2;1;1;23;1;0;0;10;0;0;11;6;1;8;D66;VVD;GL;20;15;10;;5;;5;5;80;;;15;10;;;;1,5;15;15;;;;;;;;;;;10;;582;1760;1670
Amsterdam;;;29  Posthoornkerk;1013EX;52,3810766;4,890395903;2146;1750;1;1;0;0;2;298;221;93;102;42;480;16;613;1;187;23;0;2;9;28;0;0;2;14;0;0;13;8;6;1;GL;D66;VVD;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;5;;316;640;1570
Amsterdam;;;31  Atria Kennisinstituut;1017HK;52,36562813;4,892747361;893;888;1;1;0;0;2;255;81;17;15;22;261;9;154;0;51;0;2;0;3;7;1;0;0;5;1;0;9;6;1;8;D66;VVD;GL;30;20;15;;10;10;5;5;70;20;;25;20;5;;;1,3;15;15;;;;;;;;;;;15;;514;490;1770
Amsterdam;;;32  School De Eilanden;1013KS;52,38534287;4,889334632;1687;2327;0,72496777;0;1;0;4;198;154;73;126;29;317;8;502;1;186;16;0;1;18;30;2;1;2;2;0;5;11;8;6;1;GL;D66;VVD;205;95;110;15;55;75;50;15;40;40;20;135;90;30;5;10;1,5;135;30;;;15;;85;;;70;10;95;135;10;289;880;1530
Amsterdam;;;35  Doopsgezinde Singelkerk;1017AW;52,36719177;4,88945621;994;1082;0,918669131;0;1;0;0;289;62;22;19;40;254;13;197;1;58;9;0;3;0;16;0;0;0;6;0;0;5;1;6;8;VVD;D66;GL;5;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;5;;521;;
Amsterdam;;;36  ASVO school;1017XL;52,36098675;4,900814108;1223;1067;1;1;0;0;1;361;87;19;44;26;321;6;261;2;59;6;0;1;2;12;0;0;2;5;0;0;8;1;6;8;VVD;D66;GL;35;20;15;5;15;10;5;;60;30;;15;10;;;5;2,1;10;10;;;;;;;;;70;;;;610;2280;4180
Amsterdam;;;37  NH Carlton Amsterdam;1017HK;52,36562813;4,892747361;682;946;0,720930233;0;1;0;0;167;45;15;17;10;211;5;128;0;44;4;0;2;4;13;1;0;0;11;0;1;4;6;1;8;D66;VVD;GL;30;20;15;;10;10;5;5;70;20;;25;20;5;;;1,3;15;15;;;;;;;;;;;15;;514;490;1770
Amsterdam;;;38  Dr. Sarphatihuis;1018WC;52,36389232;4,910599233;2354;1856;1;1;0;0;3;321;239;87;136;33;540;14;663;4;193;19;0;4;18;23;1;1;4;15;0;1;32;8;6;1;GL;D66;VVD;175;80;95;;5;10;25;130;80;10;10;15;10;;;;1,6;20;20;;;;;;;;50;60;;20;;242;710;2430
Amsterdam;;;43  De Witte Boei;1018LT;52,37196952;4,922390885;1312;2088;0,62835249;0;0;1;0;111;141;111;138;27;177;17;310;1;107;40;0;1;34;18;0;0;1;10;0;0;62;8;6;2;GL;D66;PvDA;110;55;50;10;;25;55;15;40;10;50;75;60;10;5;5;1,4;80;;;;;80;;;;100;;75;80;;249;890;1970
Amsterdam;;;49  Crea Cultureel Studentencentrum;1018WV;52,36282803;4,91063826;1898;1239;1;1;0;0;3;215;95;20;70;16;522;21;694;0;158;16;1;1;7;22;1;0;0;8;0;0;27;8;6;1;GL;D66;VVD;45;20;20;10;10;15;5;;70;20;;25;20;;;5;1,7;25;25;;;;;;;;70;30;;25;;;;
Amsterdam;;;50  Woon- en Zorgcentrum De Rietvinck;1013JR;52,3837209;4,884138454;1280;1355;0,944649446;0;1;0;1;153;96;101;128;34;224;14;321;2;100;22;0;3;13;23;1;0;1;10;0;1;31;8;6;1;GL;D66;VVD;105;55;50;5;;10;20;70;80;10;10;25;20;;;5;1,6;60;15;;;35;;5;;;30;10;20;60;;;900;1740
Amsterdam;;;51  De Toneelmakerij;1016RJ;52,37064394;4,878582115;1221;2081;0,586737146;0;0;1;0;201;104;50;86;18;250;9;297;2;140;12;2;4;3;21;0;1;0;11;0;0;8;8;6;1;GL;D66;VVD;70;35;35;10;;20;25;20;70;30;10;45;30;10;;5;1,6;55;55;;;;;;;;80;20;25;50;10;440;1470;2390
Amsterdam;;;53  Basisschool De Kleine Reus;1017TV;52,36119471;4,893524401;1556;2199;0,707594361;0;1;0;3;393;138;48;48;50;393;7;340;0;95;10;0;1;4;15;1;0;0;5;0;0;5;1;1;8;VVD;VVD;GL;80;35;45;25;10;20;20;;60;40;10;35;10;5;;10;2,5;30;25;;;;5;;;;40;50;;30;;595;1520;3730
Amsterdam;;;55  Frascati;1012KD;52,37011824;4,893546934;764;813;0,939729397;0;1;0;1;121;46;32;25;22;185;2;234;1;60;6;0;1;5;13;0;0;1;3;1;0;5;8;6;1;GL;D66;VVD;;;;;;;;;;;;;;;;;;10;10;;;;;;;;;;;10;;394;;
Amsterdam;;;56  Het Marnix;1015ZN;52,37824978;4,8791128;1343;1354;0,991875923;1;0;0;0;196;101;88;103;26;304;5;294;2;119;20;2;2;17;30;0;0;2;16;1;0;13;6;8;1;D66;GL;VVD;65;35;30;5;10;25;20;5;50;30;30;45;35;;;;1,4;45;45;;;;;;;;100;;40;45;;199;780;1330
Amsterdam;;;57  Centraal station - Wurst en Schnitzelhaus;1012AA;52,37943081;4,901488393;1077;1374;0,783842795;0;1;0;0;146;51;29;42;16;319;14;316;0;81;6;1;1;11;11;1;0;0;5;0;1;25;6;8;1;D66;GL;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;58  Centraal Station - Restaurant 1e klas;1012AB;52,37873128;4,899693542;1384;1766;0,783691959;0;1;0;0;173;93;38;59;26;348;18;415;2;107;10;1;5;19;22;1;1;0;12;1;0;33;8;6;1;GL;D66;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;60  Park Plaza Victoria Amsterdam;1012LG;52,37685138;4,897626571;419;712;0,588483146;0;0;1;1;83;23;27;22;11;94;4;83;0;36;3;1;0;15;6;1;0;4;3;0;0;2;6;1;1;D66;VVD;VVD;5;5;;;;5;;;;;;5;;;;;1,4;5;5;;;;;;;;;;;5;;;;
Amsterdam;;;61  Westerkerk;1016GW;52,3739563;4,883457369;1404;1261;1;1;0;0;1;293;131;49;69;30;326;6;318;1;120;13;0;1;5;28;1;0;1;7;0;0;3;6;8;1;D66;GL;VVD;15;10;10;;5;;5;;70;;;15;10;;;;1,2;10;10;;;;;;;;70;;;10;;552;900;1620
Amsterdam;;;62  Noorderkerk;1015NA;52,37932523;4,886216736;788;999;0,788788789;0;1;0;2;133;73;38;56;11;168;14;165;1;83;7;1;1;5;13;1;0;1;9;0;0;6;6;8;1;D66;GL;VVD;25;15;10;;;10;10;;70;;;20;15;;;;1,2;20;20;;;;;;;;;;;20;5;314;1400;2020
Amsterdam;;;63  NH Grand Hotel Krasnapolsky;1012JS;52,37281454;4,893944565;1340;903;1;1;0;0;0;266;70;32;45;22;367;9;332;1;114;7;1;2;14;24;1;1;1;9;0;1;18;6;8;1;D66;GL;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;64  UvA - locatie P.C. Hoofthuis;1012VB;52,37420564;4,889947433;1380;1134;1;1;0;0;2;267;73;16;33;38;316;10;446;2;113;2;0;2;9;27;1;0;1;11;0;0;9;8;6;1;GL;D66;VVD;10;5;;;;5;;;;;;;;;;;;5;5;;;;;;;;;;;5;;243;;
Amsterdam;;;66  De Rode Hoed;1015CV;52,37736161;4,887322474;1024;1060;0,966037736;1;0;0;0;239;105;24;24;25;296;6;209;0;55;7;0;2;3;20;0;0;0;2;0;1;6;6;1;8;D66;VVD;GL;35;15;15;;;10;10;5;60;30;;20;10;;;;1,7;20;20;;;;;;;;50;50;;20;5;610;1410;3060
Amsterdam;;;67  Noorderkerk;1015NA;52,37932523;4,886216736;927;996;0,930722892;0;1;0;2;136;101;56;53;24;191;6;219;0;90;13;0;0;7;20;1;0;1;7;0;0;2;8;6;1;GL;D66;VVD;25;15;10;;;10;10;;70;;;20;15;;;;1,2;20;20;;;;;;;;;;;20;5;314;1400;2020
Amsterdam;;;68  Museumwerf 't Kromhout;1018BJ;52,36768498;4,92042043;1901;2679;0,709593132;0;1;0;3;195;264;48;130;34;370;19;577;4;157;21;0;0;15;22;1;3;0;15;0;0;25;8;6;2;GL;D66;PvDA;85;40;40;10;10;50;10;5;60;20;20;60;40;10;;;1,4;40;20;5;;;;10;;;60;40;10;40;;295;1140;2130
Amsterdam;;;71  Centraal Station - Restaurant 1e klas;1012AB;52,37873128;4,899693542;1286;1641;0,783668495;0;1;0;3;173;80;38;34;27;368;9;361;0;94;8;0;2;36;19;0;2;1;11;0;1;22;6;8;1;D66;GL;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;72  Ten Haaf Projects Temporary;1011CV;52,37247171;4,90324394;580;974;0,595482546;0;0;1;0;83;47;13;23;14;128;1;197;0;41;2;0;0;5;11;0;0;1;4;0;0;7;8;6;1;GL;D66;VVD;20;10;10;;;5;5;;60;40;;15;10;;;;1,4;20;20;;;;;;;;70;30;;20;5;287;1080;1170
Amsterdam;;;74  Flesseman Centrum van Ouderen;1011MA;52,37200389;4,900765686;1364;1071;1;1;0;0;2;183;115;72;67;29;305;10;394;0;118;15;0;1;5;16;1;6;3;9;0;0;10;8;6;1;GL;D66;VVD;50;20;30;;;;5;45;70;10;20;;;;;;;50;50;;;;;;;;100;;;50;5;;1940;
Amsterdam;;;76  Ateliers Westerdok;1013BH;52,38428122;4,8917373;1225;1333;0,918979745;0;1;0;0;263;118;53;55;39;300;10;244;0;62;10;1;6;9;19;1;0;0;4;0;1;28;6;1;8;D66;VVD;GL;555;295;260;75;25;245;135;70;60;20;20;300;135;90;20;50;1,8;290;;;;;;;290;;60;40;30;290;20;436;860;2550
Amsterdam;;;80  De Noorderspeeltuin;1015LH;52,37952965;4,882825676;1022;1324;0,771903323;0;1;0;4;169;95;92;73;15;178;11;213;0;119;26;1;1;8;11;1;0;0;3;0;0;5;8;6;1;GL;D66;VVD;40;15;20;;5;15;15;;80;20;;30;20;5;;;1,4;25;20;;;;5;;;;;;;25;;272;990;1770
Amsterdam;;;82  Kindervreugd;1095JS;52,36457147;4,946348969;923;1534;0,601694915;0;0;1;5;49;70;60;85;10;97;17;198;3;48;16;0;1;199;6;2;0;0;5;0;0;57;14;8;6;DENK;GL;D66;55;30;25;10;5;15;20;;10;;80;30;15;;;5;1,9;25;;;;;25;;;;;;;25;;200;910;2030
Amsterdam;;;83  Nowhere;1094GS;52,36422885;4,935797003;567;1112;0,509892086;0;0;1;4;43;42;26;29;10;129;4;142;0;35;10;0;2;59;5;1;0;0;5;0;0;21;8;6;14;GL;D66;DENK;35;25;15;5;;10;10;5;50;;50;25;20;;;;1,4;25;25;;;;;;;;;;;25;;208;900;1870
Amsterdam;;;84  Het JAV'ART Huis;1095CS;52,36280682;4,944378154;1292;1453;0,889194769;0;1;0;5;93;103;58;78;21;198;15;342;0;72;25;0;2;199;10;1;1;1;6;3;2;60;8;14;6;GL;DENK;D66;25;10;15;5;;10;;;40;;50;10;5;;;;2,1;10;10;;;;;;;;80;;;10;;177;980;2020
Amsterdam;;;87  Verenigingsgebouw Batavia;1095KS;52,36028977;4,94100501;1623;2916;0,556584362;0;0;1;8;99;112;89;115;19;180;18;334;5;73;21;1;1;457;7;0;0;0;8;0;1;78;14;8;6;DENK;GL;D66;55;30;25;5;10;20;15;;20;;70;25;15;;;5;2,2;25;;;;;25;;;;;;;25;;243;780;1850
Amsterdam;;;92  OBS De Kleine Kapitein;1019RT;52,37931352;4,923146162;1221;1373;0,889293518;0;1;0;4;212;146;34;48;29;315;9;298;1;67;15;2;0;12;15;0;1;2;3;0;0;9;6;8;1;D66;GL;VVD;25;10;10;;;;15;;60;30;;15;10;5;;;1,4;15;;;;;;15;;;;90;;15;;325;;2590
Amsterdam;;;93  Int. Instituut voor Sociale Geschiedenis;1019AT;52,36865647;4,942584176;790;880;0,897727273;0;1;0;1;83;66;52;46;22;127;8;238;2;58;13;1;1;20;8;1;0;0;5;1;0;34;8;6;1;GL;D66;VVD;5;;;;;;;;;;;5;5;;;;1,2;;;;;;;;;;;;;;;;;
Amsterdam;;;94  KHL Koffiehuis;1019BN;52,37405082;4,936107667;1466;1177;1;1;0;0;2;252;181;38;67;26;363;14;382;0;77;8;0;3;8;14;0;0;0;9;2;0;15;8;6;1;GL;D66;VVD;45;20;25;5;5;10;15;10;70;20;;20;5;5;;5;2,1;20;15;;;;;;;;;;;20;;259;1180;2340
Amsterdam;;;95  Kompaszaal;1019LE;52,37719506;4,93949283;1195;1428;0,836834734;0;1;0;2;198;150;45;66;31;254;7;287;0;74;13;0;0;15;24;0;1;3;6;0;0;19;8;6;1;GL;D66;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;96  Basisschool 't Gouden Ei;1019JN;52,37299907;4,938158843;881;1430;0,616083916;0;0;1;0;104;95;32;49;17;182;10;227;2;48;7;1;1;44;15;1;1;0;6;0;0;35;8;6;1;GL;D66;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;98  Oceaan;1019WL;52,37173515;4,94682034;1096;1527;0,717747217;0;1;0;0;177;101;14;36;22;297;8;306;1;80;0;1;2;13;11;0;0;4;6;0;0;17;8;6;1;GL;D66;VVD;135;70;65;35;10;70;25;;70;20;10;60;15;20;10;15;2,2;60;;5;;;;55;;;90;10;;60;;345;0;2240
Amsterdam;;;99  Int. Instituut voor Sociale Geschiedenis;1019AT;52,36865647;4,942584176;759;875;0,867428571;0;1;0;0;68;80;42;50;9;128;11;205;0;48;14;1;0;56;9;1;0;0;7;0;0;28;8;6;2;GL;D66;PvDA;5;;;;;;;;;;;5;5;;;;1,2;;;;;;;;;;;;;;;;;
Amsterdam;;;100  Wijkservicepunt Flevopoort;1095LB;52,3654745;4,946616424;898;1498;0,599465955;0;0;1;1;91;112;75;78;18;106;13;194;0;53;21;0;1;84;15;0;0;2;4;0;0;30;8;2;6;GL;PvDA;D66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;101  De Meevaart;1094JN;52,36299475;4,933638454;882;1434;0,615062762;0;0;1;2;81;61;22;50;8;186;15;259;0;49;6;0;1;117;5;0;1;1;2;0;1;16;8;6;14;GL;D66;DENK;50;25;25;10;;25;10;;60;20;20;30;15;5;5;;1,8;25;25;;;;;;;;70;30;10;25;;220;780;2240
Amsterdam;;;102  Basisschool 't Gouden Ei;1019JN;52,37299907;4,938158843;1250;1450;0,862068966;0;1;0;3;147;130;34;79;21;239;12;313;2;63;21;1;2;100;9;1;1;2;11;0;0;60;8;6;1;GL;D66;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;103  Batjanburen;1094RC;52,3593835;4,938540567;1138;1509;0,754141816;0;1;0;2;67;88;52;75;16;155;8;252;2;51;13;2;1;268;9;2;0;0;7;0;1;67;14;8;6;DENK;GL;D66;60;25;30;;15;30;15;;30;20;40;30;10;10;;;2;30;;;;;30;;;;100;;;30;;189;1190;1830
Amsterdam;;;104  Stayokay Amsterdam Zeeburg;1094CC;52,36532062;4,935682111;1048;1013;1;1;0;0;4;117;93;44;44;16;224;8;333;0;70;9;1;1;55;2;1;0;0;3;0;1;23;8;6;1;GL;D66;VVD;25;15;10;;;20;;;50;30;20;20;15;5;;;1,2;25;25;;;;;;;;40;60;;25;;184;800;1340
Amsterdam;;;105  J.P. Coenschool;2026VJ;52,41792867;4,653217373;2122;2854;0,74351787;0;1;0;4;207;130;73;105;19;475;22;566;2;128;24;1;3;286;7;1;1;0;14;0;0;55;8;6;14;GL;D66;DENK;25;20;10;;5;10;10;;100;;;10;;;;5;2,4;10;10;;;;;;;;;90;;;;257;1480;3210
Amsterdam;;;108  Flexbieb - Talbotstraat 46;1087EM;52,35475578;4,994055475;1094;1443;0,758142758;0;1;0;0;184;95;47;45;52;234;20;215;1;62;13;4;2;54;14;0;0;0;6;0;0;38;6;8;1;D66;GL;VVD;185;95;90;55;10;40;55;25;60;10;20;75;25;20;5;25;2,4;70;;;;;;50;20;;30;70;15;50;;354;0;3070
Amsterdam;;;109  De Binnenwaai;1087EJ;52,35682652;4,996192941;611;1283;0,476227592;0;0;1;4;100;52;34;30;19;130;24;82;2;28;8;1;2;51;12;0;0;0;2;0;1;32;6;1;8;D66;VVD;GL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;110  Basisschool De Archipel;1087HN;52,35271608;5,006957849;800;1376;0,581395349;0;0;1;0;112;59;48;40;23;179;20;144;2;31;3;0;2;83;7;0;0;0;2;0;0;44;6;8;1;D66;GL;VVD;165;75;90;55;20;60;25;;30;10;60;60;15;10;15;20;2,8;55;;;;;;;55;;70;30;40;40;;256;0;3030
Amsterdam;;;111  OBA IJburg;1087GN;52,35640357;4,996497932;1172;1274;0,919937206;0;1;0;1;181;117;78;65;39;245;19;189;1;60;13;1;3;102;27;0;0;1;4;0;0;26;6;8;1;D66;GL;VVD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;;;112  Montessorischool Steigereiland;1086WB;52,36035688;4,983241315;1372;1523;0,900853578;0;1;0;3;233;114;38;77;39;311;22;291;0;84;10;2;3;72;21;3;1;0;7;0;0;41;6;8;1;D66;GL;VVD;40;15;25;10;;20;10;;10;20;70;25;10;;10;;1,8;;;;;;;;;;;;;;;;;
Amsterdam;;;113  abbs De Zuiderzee;1086VB;52,36420451;4,98518609;859;1311;0,655225019;0;1;0;1;167;63;20;39;28;209;13;156;4;34;7;1;0;63;7;0;0;0;8;0;0;37;6;1;8;D66;VVD;GL;130;70;60;30;15;60;25;;70;30;10;60;20;15;5;20;2,3;55;;;;;;;55;;50;50;;20;5;171;930;4190
Amsterdam;;;114  Cafe Kanis en Meiland;1019MJ;52,37643634;4,940092202;1200;1440;0,833333333;0;1;0;1;149;152;47;64;18;218;9;369;0;115;19;1;0;5;6;0;0;0;6;0;1;20;8;6;2;GL;D66;PvDA;95;50;45;10;15;25;25;20;50;20;30;55;35;5;5;5;1,8;40;40;;;;;;;;100;;;40;;332;670;2250
Amsterdam;;;115  IJburg College;1087HN;52,35271608;5,006957849;2649;3042;0,870808679;0;1;0;2;603;206;85;132;44;625;40;446;3;138;17;6;3;171;45;0;1;3;16;0;4;55;6;1;8;D66;VVD;GL;165;75;90;55;20;60;25;;30;10;60;60;15;10;15;20;2,8;55;;;;;;;55;;70;30;40;40;;256;0;3030
Amsterdam;;;117  MKC Zeeburgereiland;1095MD;52,37526177;4,964863335;611;1428;0,427871148;0;0;1;0;90;40;17;18;10;155;4;180;1;46;4;1;1;10;7;0;0;0;9;1;0;14;8;6;1;GL;D66;VVD;30;15;15;;;15;10;;60;20;20;20;10;5;;;1,6;25;;;;;;;;25;20;80;;25;5;223;0;1940
Amsterdam;;;118  Katholieke Basisschool Willibrord;1087EM;52,35475578;4,994055475;1375;1584;0,868055556;0;1;0;0;395;134;43;34;27;367;7;225;0;60;7;2;2;33;12;0;0;0;4;0;0;18;1;6;8;VVD;D66;GL;185;95;90;55;10;40;55;25;60;10;20;75;25;20;5;25;2,4;70;;;;;;50;20;;30;70;15;50;;354;0;3070
Amsterdam;;;122  Basisschool De Dapper;1093XG;52,36164123;4,927134245;1117;1297;0,861218196;0;1;0;3;69;106;66;92;15;160;8;211;1;67;25;0;0;228;7;2;0;1;5;0;0;52;14;8;6;DENK;GL;D66;20;10;10;;;;10;;30;;70;10;10;;;;1,7;10;;;;;10;;;;;;;10;;192;780;1610
Amsterdam;;;124  Ouder en Kindcentrum Pontanusstraat;1093SH;52,36251072;4,93031542;1130;1391;0,812365205;0;1;0;2;120;91;41;64;18;243;12;318;1;80;9;0;2;74;10;0;2;1;9;0;0;34;8;6;1;GL;D66;VVD;85;45;45;5;10;45;20;5;30;20;50;65;45;10;;;1,3;60;45;;;10;5;;;;80;20;45;60;;199;820;1300
Amsterdam;;;125  OBS Aldoende;1091AN;52,35879456;4,910858111;1341;1528;0,877617801;0;1;0;3;168;98;38;92;12;263;7;402;2;106;6;0;2;77;10;2;0;0;7;1;0;48;8;6;1;GL;D66;VVD;120;60;60;5;20;65;20;5;60;10;30;95;75;10;;;1,3;95;20;;;;;;70;;100;;85;95;;154;1260;1230
Amsterdam;;;126  HVA - locatie Wibauthuis;1091GH;52,35530283;4,91166678;2011;1380;1;1;0;0;7;300;105;25;91;38;539;16;597;2;137;7;3;1;76;27;1;1;0;6;1;1;37;8;6;1;GL;D66;VVD;60;30;25;10;5;15;20;5;20;10;70;30;20;5;;5;1,8;35;;;;35;;;;;100;;;35;;197;1000;1730
Amsterdam;;;127  Cygnus Gymnasium;1091VG;52,35531703;4,915342006;1088;1618;0,672435105;0;1;0;3;128;79;36;71;26;231;10;243;0;78;14;0;2;96;10;0;0;0;12;0;0;47;8;6;1;GL;D66;VVD;95;45;45;10;5;40;25;10;70;20;10;55;25;20;5;5;1,7;55;20;10;;;;25;;;40;60;10;55;;268;880;2120
Amsterdam;;;128  Ouderencentrum De Gooyer;1093BJ;52,36421257;4,926480077;1264;1556;0,812339332;0;1;0;1;77;121;138;98;20;194;16;251;1;85;31;1;2;141;10;3;0;1;7;0;0;65;8;6;14;GL;D66;DENK;310;155;160;25;25;95;85;85;40;10;40;145;95;25;10;20;1,6;140;30;;;60;50;;;;80;20;100;140;5;228;790;1630
